Collection Date,Locale,Grower,Sample Type,Acreage ,~Observed Q,Collected Q,Sample(s),Sample ID,,Sample Code,,Virus Infection ,Ilumina Sequencing,Comments,TRNA,TDNA,PCR Screening,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
5/6/2022,Bixby,glenn,Tree L,10-20,N/A,15,129,Tree 1,,F129,,,,Common hackberry (Celtis occidentalis),1,1,,,,,,0,,,,0,N/A,N/A,N/A,N/A,N/A
5/6/2022,Bixby,glenn,Grape L,10-20,N/A,15,130,Grape 1,,F130,,,,No Image,1,1,,,0,,,0,,,0,0,N/A,N/A,N/A,N/A,N/A
5/6/2022,Bixby,glenn,Ivy L,10-20,N/A,15,131,Ivy 1,,F131,,,,No Image,1,1,,,0,,,0,,,0,0,N/A,N/A,N/A,N/A,N/A
5/6/2022,Bixby,glenn,Pinta L,10-20,N/A,15,132,Pinta 1,,F132,,,,No Image,1,1,,,0,,,0,,,0,0,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
8/17/2021,Layne,jim_shiply,Squash L,N/A,N/A,N/A,133,Atoka 1,,F133,,,,Atoka Samples were from Clark,0,1,,N/A,N/A,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
8/17/2021,Layne,jim_shiply,Squash L,N/A,N/A,N/A,134,Atoka 4,,F134,,,,Atoka Samples were from Clark,0,1,,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
8/17/2021,Layne,jim_shiply,Squash L,N/A,N/A,N/A,135,Atoka 5,,F135,,,,Atoka Samples were from Clark,0,1,,N/A,0,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
8/17/2021,Layne,jim_shiply,Squash L,N/A,N/A,N/A,136,Atoka 9,,F136,,,,Atoka Samples were from Clark,0,1,,N/A,N/A,N/A,N/A,0,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
5.11.22,Tulsa,Bonnie Plants,Pepper P,Store,100,1,137,ATWOODS 1,,F137,,,,,1,0,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
5.27.22,Caddo,dean_smith,Johnson Grass,600,-,-,138,Johnson 1,,F138,,MCDV,,,1,0,,,N/A,,,N/A,,,N/A,N/A,1,N/A,N/A,N/A,N/A
5.27.22,Caddo,dean_smith,Johnson Grass,600,-,-,139,Johnson 2,,F139,,MCDV,,,1,0,,,N/A,,,N/A,,,N/A,N/A,1,N/A,N/A,N/A,N/A
9.22.21,hydro,dean_smith,Pepper P,600,1000+,17,140,CO 9.22.21,,F140,,PMMoV,Round_3,"The whole plant was taken, but samples were not collected directly from this sample.",1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
6.15.22,Bixby,glenn,tomato_leaf,10-20,100+,8,141,T1,,F141,,TYLCV,,,1,1,,,0,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
6.15.22,Bixby,glenn,tomato_leaf,10-20,100+,8,142,T2,,F142,,TYLCV,,,1,1,,,0,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
6.15.22,Bixby,glenn,tomato_leaf,10-20,100+,8,143,T3,,F143,,TYLCV,,,1,1,,,0,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
6.15.22,Bixby,glenn,tomato_leaf,10-20,100+,8,144,T4,,F144,,TYLCV,,,1,1,,,0,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
6.15.22,Bixby,glenn,tomato_leaf,10-20,100+,8,145,T5,,F145,,TYLCV,,,1,1,,,0,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
6.15.22,Bixby,glenn,tomato_leaf,10-20,100+,8,146,T6,,F146,,TYLCV,,,1,1,,,0,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
6.15.22,Bixby,glenn,tomato_leaf,10-20,100+,8,147,T7,,F147,,TYLCV,,,1,1,,,0,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
6.15.22,Bixby,glenn,tomato_leaf,10-20,100+,8,148,T9,,F148,,TYLCV,,,1,1,,,0,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
6.17.22,Willow,caleb_wooton,pepper_leaf,40,1000+,11,149,P1,,F149,,"BCTV, PepYDV",Round 4 (Pool 1),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,pepper_leaf,40,1000+,11,150,P2,,F150,,"BCTV, PepYDV",Round 4 (Pool 1),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,pepper_leaf,40,1000+,11,151,P3,,F151,,"BCTV, PepYDV",Round_3,,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,pepper_leaf,40,1000+,11,152,P4,,F152,,"BCTV, PepYDV",Round 4 (Pool 1),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,pepper_leaf,40,1000+,11,153,P5,,F153,,,Round 4 (Pool 1),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,pepper_leaf,40,1000+,11,154,P6,,F154,,BCTV,Round 4 (Pool 2),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,pepper_leaf,40,1000+,11,155,P7,,F155,,BCTV,Round 4 (Pool 2),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,pepper_leaf,40,1000+,11,156,P8,,F156,,,Round 4 (Pool 2),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,pepper_leaf,40,1000+,11,157,P10,,F157,,,Round 4 (Pool 2),I accidently skipped P9 (no sample or image was taken),1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,weed_leaf,40,1000+,11,158,W1,,F158,,,Round 4 (Pool 18),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,weed_leaf,40,1000+,11,159,W2,,F159,,,Round 4 (Pool 18),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,Whole Insect,40,TNTC,5,160,Grasshopper 1,,I1,,,,,1,0,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,Whole Insect,40,TNTC,5,161,Grasshopper 2,,I2,,,,,1,0,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,Whole Insect,40,TNTC,5,162,Grasshopper 3,,I3,,,,,1,0,,,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,Whole Insect,40,TNTC,5,163,Grasshopper 4,,I4,,,,,0,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
6.17.22,Willow,caleb_wooton,Whole Insect,40,TNTC,5,164,Grasshopper 5,,I5,,,,,0,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
6.22.22,oaks,mike,pepper_leaf,4,50+,24,165,P1,,F160,,"BPEV, PCV2",Round 4 (Pool 3),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,pepper_leaf,4,50+,24,166,P2,,F161,,"BPEV, PCV2",Round 4 (Pool 3),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,pepper_leaf,4,50+,24,167,P3,,F162,,VVeV1 ,Round_3,,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,pepper_leaf,4,50+,24,168,P4,,F163,,"BPEV, PCV2",Round 4 (Pool 3),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,pepper_leaf,4,50+,24,169,P5,,F164,,"BPEV, PCV2",Round 4 (Pool 3),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,pepper_leaf,4,50+,24,170,P6,,F165,,"BPEV, PCV2",Round 4 (Pool 3),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,pepper_leaf,4,50+,24,171,P7,,F166,,"BPEV, PCV2",Round_3,,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,Basil L,4,50+,24,172,Basil 1,,F167,,*,Round 4 (Pool 19),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6.22.22,oaks,mike,Basil L,4,50+,24,173,Basil 2,,F168,,*,Round 4 (Pool 19),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6.22.22,oaks,mike,Squash L,4,50+,24,174,Squash 1,,F169,,*,Round 4 (Pool 19),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6.22.22,oaks,mike,Squash L,4,50+,24,175,Squash 2,,F170,,*,Round 4 (Pool 19),,1,0,,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6.22.22,oaks,mike,Squash L,4,50+,24,176,Squash 3,,F171,,*,Round 4 (Pool 19),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,
6.22.22,oaks,mike,Potato L,4,50+,24,177,Potato 1,,F172,,*,Round 4 (Pool 20),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,Potato L,4,50+,24,178,Potato 2,,F173,,*,Round 4 (Pool 20),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,Potato L,4,50+,24,179,Potato 3,,F174,,*,Round 4 (Pool 20),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,Potato L,4,50+,24,180,Potato 4,,F175,,*,Round 4 (Pool 20),,1,0,,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,Potato L,4,50+,24,181,Potato 5,,F176,,*,Round 4 (Pool 20),,1,0,,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,tomato_leaf,4,50+,24,182,Tomato 1,,F177,,,,,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,tomato_leaf,4,50+,24,183,Tomato 2,,F178,,,,,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,Blackberry L,4,50+,24,184,Blackberry 1,,F180,,*,,,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,Blackberry L,4,50+,24,185,Blackberry 2,,F179,,nothing,Round_3,Ilumina data seemed to be mixed up by OSU so this is the best possible explanation.,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,Blackberry L,4,50+,24,186,Blackberry 3,,F181,,*,,,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,weed_leaf,4,50+,24,187,W1,,F182,,*,,Pokeweed,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
6.22.22,oaks,mike,weed_leaf,4,50+,24,188,W2,,F183,,PkMV,Round_3,Pokeweed,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,189,P1,,F184,,"PCV1,2",Round 4 (Pool 4),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,190,P2,,F185,,"PCV1,2",Round 4 (Pool 4),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,191,P3,,F186,,"PCV1,2",Round 4 (Pool 4),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,192,P4,,F187,,"PCV1,2",Round 4 (Pool 4),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,193,P5,,F188,,,Round 4 (Pool 5),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,194,P6,,F189,,,Round 4 (Pool 5),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,195,P7,,F190,,,Round 4 (Pool 5),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,196,P8,,F191,,"BCTV, PepYDV",Round 4 (Pool 5),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,197,P9,,F192,,PepYDV,Round 4 (Pool 6),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,198,P10,,F193,,,Round 4 (Pool 6),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,199,P11,,F194,,BCTV,Round 4 (Pool 6),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,200,P12,,F196,,,Round 4 (Pool 7),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,201,P13,,F195,,,Round 4 (Pool 6),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,202,P14,,F197,,BCTV,Round 4 (Pool 7),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,203,P15,,F198,,BCTV,Round 4 (Pool 7),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,204,P16,,F199,,BCTV,Round 4 (Pool 7),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,205,P17,,F200,,BCTV,Round 4 (Pool 8),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,206,P18,,F201,,,Round 4 (Pool 8),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,207,P19,,F202,,BCTV,Round 4 (Pool 8),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,208,P20,,F203,,BCTV,Round 4 (Pool 8),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,209,P21,,F204,,,Round 4 (Pool 9),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,210,P22,,F205,,BCTV,Round 4 (Pool 9),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,211,P23,,F206,,BCTV,Round 4 (Pool 9),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,212,P24,,F207,,,Round 4 (Pool 9),Row 14 in the field on the north side of the farm closer to I40. ,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,213,P25,,F208,,,Round 4 (Pool 10),,1,1,,N/A,0,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,214,P26,,F209,,BCTV,Round 4 (Pool 10),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,215,P27,,F210,,,Round 4 (Pool 10),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,216,P28,,F211,,,Round 4 (Pool 10),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,217,P29,,F212,,BCTV,Round 4 (Pool 11),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,218,P30,,F213,,BCTV,Round 4 (Pool 11),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,219,P31,,F214,,,Round 4 (Pool 11),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,220,P32,,F215,,BCTV,Round 4 (Pool 12),,1,1,,N/A,1,N/A,N/A,N/A,N/A,N/A,C,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,221,P33,,F216,,,Round 4 (Pool 12),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
7.30.22,hydro,dean_smith,pepper_leaf,600,1000+,34,222,P34,,F217,,,Round 4 (Pool 12),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
8.3.22,Bixby,glenn,Squash L,10-20,100+,10,223,S1,,F218,,,Round 4 (Pool 21),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,Bixby,glenn,Squash L,10-20,100+,10,224,S2,,F219,,,Round 4 (Pool 21),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,Bixby,glenn,Squash L,10-20,100+,10,225,S3,,F220,,,Round 4 (Pool 21),,1,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,Bixby,glenn,tomato_leaf,10-20,100+,10,226,T1,,F221,,,Round 4 (Pool 22),,1,1,,N/A,N/A,N/A,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,Bixby,glenn,tomato_leaf,10-20,100+,10,227,T2,,F222,,TYLCV,Round 4 (Pool 22),,1,1,,N/A,N/A,N/A,N/A,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,Bixby,glenn,tomato_leaf,10-20,100+,10,228,T3,,F223,,TYLCV,Round 4 (Pool 22),,1,1,,N/A,N/A,N/A,N/A,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,Bixby,glenn,tomato_leaf,10-20,100+,10,229,T4,,F224,,TYLCV,Round 4 (Pool 22),,1,1,,N/A,N/A,N/A,N/A,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,Bixby,glenn,tomato_leaf,10-20,100+,10,230,T5,,F225,,TYLCV,Round 4 (Pool 22),,1,1,,N/A,N/A,N/A,N/A,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,Bixby,glenn,tomato_leaf,10-20,100+,10,231,T6,,F226,,TYLCV,,,1,1,,,,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,Bixby,glenn,tomato_leaf,10-20,100+,10,232,T7,,F227,,TYLCV,,,1,1,,,,,,1,,,0,N/A,N/A,N/A,N/A,N/A,N/A
,,,,,,,,,,,,,,,,,,PMMoV,BCTV,CMV,AMV,TYLCV,PYDV,BWYV,PepYDV,Begomovirus,MCDV,Cap. Actin,BPEV,Pepper Cryptic,BCRSV
8.3.22,oaks,mike,pepper_leaf,4,100+,17,233,P1,,F228,,,Round 4 (Pool 13),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,234,P2,,F229,,PYDV,Round 4 (Pool 13),,1,0,,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,235,P3,,F230,,PYDV,Round 4 (Pool 13),,1,0,,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,236,P4,,F231,,PYDV,Round 4 (Pool 13),,1,0,,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,237,P5,,F232,,,,,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,238,P6,,F233,,,,,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,239,P8,,F234,,,,,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,240,P9,,F235,,,,,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,241,P10,,F236,,,Round 4 (Pool 16),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,242,P11,,F237,,PYDV,,,1,0,,,N/A,,,N/A,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,243,P12,,F238,,,,,1,0,,,N/A,,,N/A,0,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,244,P13,,F239,,PYDV,,,1,0,,,N/A,,,N/A,1,,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,pepper_leaf,4,100+,17,245,P14,,F240,,PYDV,Round 4 (Pool 16),,1,0,,N/A,N/A,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
8.3.22,oaks,mike,Squash L,4,100+,17,246,S4,,F241,,,Round 4 (Pool 23),,1,0,,N/A,N/A,N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
